class_name,sentence
Security,The WCS system shall not allow automatic logins by any user.
Usability,The product shall be easy to learn by Adjusters and Collision Estimators.
Security,Ensure that authentication is reset after a period of inactivity that exceeds ten minutes.
Security,The product shall ensure that only company employees or external users with company-approved user IDs may have product access.
Performance,Working with low bandwidth and low system requirements
Maintainability,LOINC: Logical Observation Identifiers Names and Codes (LOINC) is a database and universal standard for identifying medical laboratory observations.
Security,The administrator shall have the ability to edit a user’s system access properties.
Operability,"The system should be available on different devices (computers, tablets, smartphones)"
Usability,The system has the ability to display critical relevant data when creating orders.
Security,"Furthermore, if CMS determines that the risk of harm requires notification of affected individual persons of the security breach possibly and possibly other remedies, the User agrees to carry out these remedies without cost to CMS."
Usability,All interfaces and reports will undergo usability tests by CCR users.
Usability,The website will provide a help section with answers and solutions to common problems.
Operability,Working on a high performance and reliable infrastructure
Usability,2 out of 3 Program Administrators or Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.
Operability,The product shall operate with every platform.
Usability,The system shall have the ability to design a preferred sequence to make data-entry columns and fields match the order of information in organization source documents.
Maintainability,Promotional updates to the website should take a day to update.
Performance,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.
Security,The system shall lock accounts after 500 failed login attempts.
Security,The system shall provide only limited feedback information to the user during the authentication.
Performance,"The system shall include documentation of product capacities (e.g. number of users, number of transactions per second, number of records, network load, etc.) and the baseline representative configurations assumed for these capacities (e.g. number or type of processors, server or workstation configuration and network capacity, etc)."
Maintainability,The product shall have the ability to receive automatic software updates as new threats emerge.
Maintainability,The system has the capability to support BIRADS categories 0-6
Usability,Multiple language support should be offered to address a wide audience.
Performance,System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.
Maintainability,The appointments are listed in the format 'MM/DD/YYYY - AppointmentType'.
Performance,The product shall able to handle a large number of games simultaneously.
Performance,Working with energy efficiency and low battery consumption
Operability,The system shall complete backup operations within 10 hours.
Operability,The system shall support 5000 different browser versions.
Security,Data storage and processing in accordance with high safety standards
Performance,The system should provide high performance and quick response times
Operability,The Disputes application shall interface with the Letters application.
Operability,All computers within the CMCS system shall have the ability for authorized users to directly access individual systems for maintenance and monitoring through remote logins.
Maintainability,LOINC c or o Medical Informatics.
Security,The product shall have the ability to receive automatic software updates as new threats emerge. 100% of customers will be able to receive automatic software updates transmitted to the installed product.
Usability,The system shall maintain consistent navigation patterns across all 500 modules.
Security,The streaming server will have anti-virus software to prevent infection of malicious viruses.
Operability,The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.
Operability,The product must support Mozilla Firefox 1.0 and above.
Maintainability,Washing parameters will be updated during scheduled maintenance hours.
Usability,On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100
Security,"For e-prescribing and for CCHIT certification, EHR systems shall have the ability to support two-factor authentication."
Maintainability,"An administrators manual, explaining how to install and operate the MultiMahjongServer, will be provided."
Security,System must support password complexity that meets the following requirements:
Maintainability,Creating effective communication and support mechanism in order to collect users' feedback and make quick feedback
Performance,"System shall let customers register on the website as a ""pay as you go"" user in under 5 minutes."
Operability,Providing usability in different geographical regions and in various climatic conditions
Operability,All merchant detail information shall be obtained from the Merchant Information Database.
Usability,User shall be able to play Mahjong with no prior knowledge of the rules.
Performance,System shall let Izogn Manager access sales and usage statistics in under 2 minutes.
Performance,Any interface between a user and the automated system shall have a maximum response time of 5 seconds unless noted by an exception below.
Security,Using cryptography standards in block chain technology for data privacy
Usability,The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.
Performance,Recreation of C360Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.
Security,The system shall use the organization's standard virus protection software to help monitor threats to itself.
Security,ONLY users that exist in the UAS system with the RFS system assigned to their role(s) shall access the RFS system and use it.
Security,System provides the following password change rules for user accounts:
Security,A software tester has a login and password.
Security,"Procedures for creating, changing, and safeguarding passwords."
Usability,"The system shall be usable by users with basic PC, Macintosh, or Unix operating system knowledge."
Operability,"As an objective, the TCS shall support an automatic launch and recovery system."
Operability,The System shall utilize currently owned computer equipment.
Performance,The recycled parts audit report shall be returned to the user within 10 seconds. The audit report shall be returned within 10 seconds.
Usability,Software should be easily available with a user?-friendly interface
Security,The system shall maintain audit logs for 10 days.
Security,The system shall prevent malicious attacks including denial of service.
Operability,The product shall be platform independent.
Security,"MIDs should be considered private, sensitive information."
Maintainability,Operating system software shall either have source code available or come with sufficient diagnostics and customer support.
Security,All updates to data files or database must be initiated from the Disputes System.
Usability,95% of Adjusters and Collision Estimators shall find the product easy to use.
Security,A strong authentication system should be provided for users' account security
Security,The iTrust user (patient) has authenticated himself or herself in the iTrust Medical Records system (UC3).
Operability,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.
Operability,The TCS shall permit the operator to control the payload using all methods supported by the payload installed in the selected AV.
Usability,The product shall be easy for System Administrators and DBAs to use after two weeks of usage.
Operability,The product is expected to integrate with multiple database management systems. The product will operate with Oracle SQL Server DB2 MySQL HSQL and MS Access.
Performance,The server will support a maximum of 1 000 simultaneous users.
Usability,To comply with accessibility standards to support the voting process of disabled individuals
Security,The system shall maintain audit logs for 15 days.
Usability,Localization and multiple language support for various language and geographical regions
Security,"Physical security protects the providers, the patients, clinic assets, and the physical manifestation of the business, financial, and health information."
Maintainability,Software tools and pre-built applications that do not have source code available shall come with a complete diagnostic package and customer support.
Performance,The system shall be able to validate credit card in less than 2 seconds.
Usability,Providing multiple language support and addressing multicultural communities
Usability,The product shall be easy to use by Adjusters and Collision Estimators.
Operability,"Transparency shall be accomplished in a manner that is transparent to processing, communications and I/O software functions (except maybe recompilation)."
Usability,The system shall be able to display its graphical user interface (GUI) within an 800 x 600 pixel resolution.
Usability,The product shall allow for customization of start page and views preferences.
Usability,The system shall maintain consistent navigation patterns across all 1000 modules.
Operability,The product will function alongside server software on any operating system where the Java runtime can be installed.
Maintainability,The system shall use modular architecture with 200 independent components.
Usability,100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.
Usability,"The system shall include documentation that explains system error or performance messages to users and administrators, with the actions required."
Usability,The system shall provide keyboard shortcuts for all common operations.
Usability,The product shall use a standard navigation menu familiar to most web users.
Security,Attempts to access resources using parent paths are blocked.
Operability,The system shall operate within the Windows XP Professional operating system.
Security,The Proposer shall provide adequate firewall protection in order to secure Personal Data and other Confidential Information users of the EHR from unauthorized access by third parties.
Performance,The system shall be able to handle an average transaction load with an average CPU utilization of no more than 35%-40% of the CPU capacity.
Security,"Ability for an administrator to delegate authority, by user group, to restore system access of locked out user"
Operability,The product shall be able to be installed in the specified environment within 1 working day.
Security,- Disable accounts after 90 days of inactivity
Operability,The product will operate with Oracle SQL Server DB2 MySQL HSQL and MS Access.
Usability,The user shall easily locate instructions while using the product.
Operability,The system shall support user integration with external services.
Usability,The user shall be able to learn and master the system within 2 to 4 hours.
Performance,The system shall be able to calculate possible Chow/Pung/Kong/Mahjong moves within 5 seconds of receiving the latest discard information.
Security,"The system shall authenticate the user before any access to Protected Resources (e.g. PHI) is allowed, including when not connected to a network e.g. mobile devices."
Security,"Identify and respond to suspected or known security incidents; mitigate, to the extent practicable, harmful effects of security incidents that are known to the covered entity; and document security incidents and their outcomes."
Security,The application must be able to link up with the INTERNAL system for user authentication and identification.
Security,The software tester authenticates himself or herself in the iTrust Medical Records system (UC2).
Performance,The save shall occur within 5 seconds.
Operability,"Software should be available on different devices, so that students can access access using the device they want."
Security,"If not using portal and want to allow users to access over the internet, then consider using client-sided certificates to only allow users access to site"
Performance,The system shall respond to user queries within 60 milliseconds.
